Batch 381: 0.118 s, average cost 1.28, 14/150 correct (9.3%)
Batch 382: 0.12 s, average cost 1.198, 11/150 correct (7.3%)
Batch 383: 0.119 s, average cost 1.121, 11/150 correct (7.3%)
Batch 384: 0.12 s, average cost 1.043, 11/150 correct (7.3%)
Batch 385: 0.119 s, average cost 1.02, 16/150 correct (10.7%)
Batch 386: 0.12 s, average cost 0.965, 22/150 correct (14.7%)
Batch 387: 0.121 s, average cost 0.942, 19/150 correct (12.7%)
Batch 388: 0.121 s, average cost 0.979, 18/150 correct (12.0%)
Batch 389: 0.119 s, average cost 0.981, 16/150 correct (10.7%)
Batch 390: 0.119 s, average cost 0.969, 22/150 correct (14.7%)
Batch 391: 0.12 s, average cost 0.939, 25/150 correct (16.7%)
Batch 392: 0.121 s, average cost 0.933, 25/150 correct (16.7%)
Batch 393: 0.117 s, average cost 0.967, 19/150 correct (12.7%)
Batch 394: 0.118 s, average cost 0.948, 20/150 correct (13.3%)
Batch 395: 0.123 s, average cost 0.938, 18/150 correct (12.0%)
Batch 396: 0.12 s, average cost 0.983, 14/150 correct (9.3%)
Batch 397: 0.12 s, average cost 0.968, 14/150 correct (9.3%)
Batch 398: 0.12 s, average cost 0.955, 18/150 correct (12.0%)
Batch 399: 0.12 s, average cost 0.938, 25/150 correct (16.7%)
